SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616556.013,3097760.448,6.532,,,Junction
2,616555.066,3097760.127,7.191,,,Junction
3,616554.119,3097759.805,7.927,,,Junction
4,616553.172,3097759.484,8.664,,,Junction
5,616552.225,3097759.163,9.401,,,Junction
6,616551.278,3097758.842,10.138,,,Junction
7,616550.331,3097758.521,10.874,,,Junction
8,616549.384,3097758.199,11.611,,,Junction
9,616548.437,3097757.878,12.348,,,Junction
10,616547.490,3097757.557,,,,Normal
11,616546.543,3097757.236,6.004,,,Normal
12,616545.596,3097756.914,6.000,,,Normal
13,616544.649,3097756.593,6.000,,,Normal
14,616543.702,3097756.272,6.000,,,Normal
15,616542.755,3097755.951,6.000,,,Normal
16,616541.808,3097755.630,6.000,,,Normal
17,616540.861,3097755.308,6.000,,,Normal
18,616539.914,3097754.987,6.000,,,Normal
19,616538.967,3097754.666,6.000,,,Normal
20,616538.023,3097754.335,6.000,,,Normal
21,616537.096,3097753.961,6.000,,,Normal
22,616536.188,3097753.542,6.000,,,Normal
23,616535.303,3097753.077,6.000,,,Normal
24,616534.442,3097752.569,6.000,,,Normal
25,616533.607,3097752.018,6.001,,,Normal
26,616532.801,3097751.427,6.001,,,Normal
27,616532.025,3097750.795,6.001,,,Normal
28,616531.282,3097750.126,6.001,,,Normal
29,616530.574,3097749.421,6.001,,,Normal
30,616529.901,3097748.681,6.001,,,Normal
31,616529.267,3097747.908,6.001,,,Normal
32,616528.671,3097747.105,6.000,,,Normal
33,616528.097,3097746.286,6.000,,,Normal
34,616527.522,3097745.468,6.000,,,Normal
35,616526.948,3097744.649,6.000,,,Normal
36,616526.374,3097743.831,6.000,,,Normal
37,616525.799,3097743.012,6.000,,,Normal
38,616525.225,3097742.194,6.000,,,Normal
39,616524.650,3097741.375,6.000,,,Normal
40,616524.076,3097740.556,5.999,,,Normal
41,616523.501,3097739.738,5.999,,,Normal
42,616522.927,3097738.919,5.999,,,Normal
43,616522.352,3097738.101,5.999,,,Normal
44,616521.778,3097737.282,5.999,,,Normal
45,616521.203,3097736.464,5.999,,,Normal
